"Time","Source","Destination","src_mac","dest_mac","Protocol","Info","Length","Source Port","Destination Port","channel","Channel frequency","Channel","Channel","Channel"
"0.155014493","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=965","1007","","","","","","",""
"0.165543979","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=898","940","","","","","","",""
"0.167735441","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=898","940","","","","","","",""
"0.177802199","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=898","940","","","","","","",""
"0.177854104","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=897","939","","","","","","",""
"0.180193677","fe80::3b5d:d21:82e7:f850","ff02::fb","b8:ee:65:c8:0d:b4","33:33:00:00:00:fb","MDNS","Standard query 0x0000 SRV NETFLIX._smb._tcp.local, ""QM"" question AAAA Netflix.local, ""QM"" question","117","","","","","","",""
"0.180381938","192.168.48.255","224.0.0.2","2c:5a:0f:2f:25:ff","01:00:5e:00:00:02","HSRP","Hello (state Standby)","62","","","","","","",""
"0.180640900","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=115","157","","","","","","",""
"0.184197578","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=42","84","","","","","","",""
"0.185820661","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.196317201","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.203973147","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=38","80","","","","","","",""
"0.206770667","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.217187397","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=102","144","","","","","","",""
"0.217388288","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.227623960","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.238162251","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=103","145","","","","","","",""
"0.238311649","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.248653648","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1102","1144","","","","","","",""
"0.264135883","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=113","155","","","","","","",""
"0.264222060","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1005","1047","","","","","","",""
"0.264629545","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=897","939","","","","","","",""
"0.264665278","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=896","938","","","","","","",""
"0.264674329","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=897","939","","","","","","",""
"0.274631050","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1005","1047","","","","","","",""
"0.285248014","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1005","1047","","","","","","",""
"0.285393878","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=42","84","","","","","","",""
"0.287306550","fe80::1c4e:5990:6c97:57fc","ff02::fb","e0:33:8e:1f:3d:20","33:33:00:00:00:fb","MDNS","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Shaurya\\342\\200\\231s MacBook Pro._companion-link._tcp.local PTR brijesh\\342\\200\\231s MacBook Air._companion-link._tcp.local PTR Sejal\\342\\200\\231s MacBook Pro (2)._companion-link._tcp.local PTR Pranay\\342\\200\\231s MacBook Air._companion-link._tcp.local PTR Viv\\342\\200\\231s MacBook Pro._companion-link._tcp.local PTR Pranav's MacBook Pro._companion-link._tcp.local PTR Srivatsava\\342\\200\\231s MacBook Air._companion-link._tcp.local PTR SHREEYA\\342\\200\\231s MacBook Pro._companion-link._tcp.local PTR Vaibhav\\342\\200\\231s MacBook Pro._companion-link._tcp.local PTR Chichi\\342\\200\\231s MacBook Pro._companion-link._tcp.local OPT","535","","","","","","",""
"0.287547807","fe80::3aee:3774:8757:5ad3","ff02::fb","00:e1:8c:c8:80:02","33:33:00:00:00:fb","MDNS","Standard query response 0x0000 AAAA, cache flush fe80::3aee:3774:8757:5ad3 SRV, cache flush 0 0 445 Netflix.local","153","","","","","","",""
"0.288662181","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=896","938","","","","","","",""
"0.288703494","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","STUN","Binding Request user: 9gpz:ylqJfFiirAiQ3KRV","154","","","","","","",""
"0.288722577","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=42","84","","","","","","",""
"0.288736739","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1001","1043","","","","","","",""
"0.289738753","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","STUN","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.173.204:42027","106","","","","","","",""
"0.295490103","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1006","1048","","","","","","",""
"0.297557335","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1001","1043","","","","","","",""
"0.297594161","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1001","1043","","","","","","",""
"0.300501740","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=46","88","","","","","","",""
"0.301364276","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=105","147","","","","","","",""
"0.308712402","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1001","1043","","","","","","",""
"0.311918602","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1000","1042","","","","","","",""
"0.321857678","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1097","1139","","","","","","",""
"0.332246001","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=95","137","","","","","","",""
"0.332677178","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1097","1139","","","","","","",""
"0.335539616","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=42","84","","","","","","",""
"0.342187558","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1097","1139","","","","","","",""
"0.352503190","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1097","1139","","","","","","",""
"0.353794287","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=42","84","","","","","","",""
"0.360304172","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1156","1198","","","","","","",""
"0.362894292","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=117","159","","","","","","",""
"0.363057867","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1098","1140","","","","","","",""
"0.363676912","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1156","1198","","","","","","",""
"0.373502972","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1098","1140","","","","","","",""
"0.373544754","192.168.173.204","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","42027  >  33768 Len=1155","1197","","","","","","",""
"0.383787583","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=97","139","","","","","","",""
"0.383889489","192.168.53.39","192.168.173.204","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","33768  >  42027 Len=1098","1140","","","","","","",""
