"Time","Source","Destination","src_mac","dest_mac","Protocol","Info","Length","Source Port","Destination Port","channel","Channel frequency","Channel","Channel","Channel"
"0.197648447","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1123","1165","","","","","","",""
"0.208215106","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1123","1165","","","","","","",""
"0.211341192","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=91","133","","","","","","",""
"0.217355985","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=121","163","","","","","","",""
"0.223746166","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1123","1165","","","","","","",""
"0.234080294","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=39","81","","","","","","",""
"0.234191439","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1064","1106","","","","","","",""
"0.239016143","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
"0.242089465","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=38","80","","","","","","",""
"0.244514351","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=119","161","","","","","","",""
"0.244780004","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1065","1107","","","","","","",""
"0.255358097","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1065","1107","","","","","","",""
"0.265806687","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1065","1107","","","","","","",""
"0.270666697","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=97","139","","","","","","",""
"0.276313691","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1065","1107","","","","","","",""
"0.281353875","192.168.57.105","224.0.0.251","ac:bc:32:78:16:b9","01:00:5e:00:00:fb","MDNS","Standard query response 0x0000 SRV, cache flush 0 0 445 Akashs-MacBook-Pro.local AAAA, cache flush fe80::1c0a:abbf:2c19:cfd2 A, cache flush 192.168.57.105 NSEC, cache flush Akash\\342\\200\\231s MacBook Pro._smb._tcp.local NSEC, cache flush Akashs-MacBook-Pro.local","215","","","","","","",""
"0.281603835","fe80::1c0a:abbf:2c19:cfd2","ff02::fb","ac:bc:32:78:16:b9","33:33:00:00:00:fb","MDNS","Standard query response 0x0000 SRV, cache flush 0 0 445 Akashs-MacBook-Pro.local AAAA, cache flush fe80::1c0a:abbf:2c19:cfd2 A, cache flush 192.168.57.105 NSEC, cache flush Akash\\342\\200\\231s MacBook Pro._smb._tcp.local NSEC, cache flush Akashs-MacBook-Pro.local","235","","","","","","",""
"0.286998261","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1065","1107","","","","","","",""
"0.289974792","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
"0.292031279","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=38","80","","","","","","",""
"0.297275016","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1056","1098","","","","","","",""
"0.302374018","Cisco_f5:f2:00","Broadcast","fc:5b:39:f5:f2:00","ff:ff:ff:ff:ff:ff","ARP","Gratuitous ARP for 192.168.60.29 (Request)","60","","","","","","",""
"0.307715240","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1057","1099","","","","","","",""
"0.312811019","192.168.60.29","224.0.0.251","64:5d:86:3c:62:25","01:00:5e:00:00:fb","MDNS","Standard query 0x0000 ANY LAPTOP-KSFQ6IE7.local, ""QM"" question","81","","","","","","",""
"0.313986081","fe80::5d63:72c7:7fb8:6677","ff02::fb","64:5d:86:3c:62:25","33:33:00:00:00:fb","MDNS","Standard query 0x0000 ANY LAPTOP-KSFQ6IE7.local, ""QM"" question","101","","","","","","",""
"0.314185123","fe80::5d63:72c7:7fb8:6677","ff02::fb","64:5d:86:3c:62:25","33:33:00:00:00:fb","MDNS","Standard query response 0x0000 AAAA fe80::5d63:72c7:7fb8:6677 A 192.168.60.29","139","","","","","","",""
"0.318235814","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=39","81","","","","","","",""
"0.318367127","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1057","1099","","","","","","",""
"0.331755191","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=86","128","","","","","","",""
"0.331805863","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=115","157","","","","","","",""
"0.333879246","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1057","1099","","","","","","",""
"0.339578945","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
"0.342202727","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=38","80","","","","","","",""
"0.344297562","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1057","1099","","","","","","",""
"0.354883423","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1057","1099","","","","","","",""
"0.365202899","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1109","1151","","","","","","",""
"0.375760772","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1109","1151","","","","","","",""
"0.386296104","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1109","1151","","","","","","",""
"0.389482471","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
